Genre,Year,nGames
Role-Playing    ,2006,171
Shooter         ,2006,160
Simulation      ,2006,133
Sports          ,2006,239
Strategy        ,2006,130
Action          ,2007,309
Action-Adventure,2007,6
Adventure       ,2007,248
Education       ,2007,1
Fighting        ,2007,93
Misc            ,2007,380
MMO             ,2007,2
Platform        ,2007,151
Puzzle          ,2007,183
Racing          ,2007,147
Role-Playing    ,2007,208
Sandbox         ,2007,1
Shooter         ,2007,238
Simulation      ,2007,172
Sports          ,2007,261
Strategy        ,2007,173
Action          ,2008,292
Action-Adventure,2008,8
Adventure       ,2008,393
Fighting        ,2008,98
Misc            ,2008,496
MMO             ,2008,2
Music           ,2008,1
Platform        ,2008,138
Puzzle          ,2008,242
Racing          ,2008,136
Role-Playing    ,2008,187
Shooter         ,2008,247
Simulation      ,2008,222
Sports          ,2008,341
Strategy        ,2008,175
Visual Novel    ,2008,1
Action          ,2009,572
Action-Adventure,2009,5
Adventure       ,2009,481
Fighting        ,2009,120
Misc            ,2009,844
Music           ,2009,2
Party           ,2009,2
Platform        ,2009,195
Puzzle          ,2009,448
Racing          ,2009,239
Role-Playing    ,2009,315
Shooter         ,2009,430
Simulation      ,2009,266
Sports          ,2009,352
Strategy        ,2009,233
Visual Novel    ,2009,3
Action          ,2010,469
Action-Adventure,2010,7
Adventure       ,2010,416
Fighting        ,2010,113
Misc            ,2010,673
MMO             ,2010,2
Music           ,2010,2
Party           ,2010,1
Platform        ,2010,145
Puzzle          ,2010,309
Racing          ,2010,153
Role-Playing    ,2010,299
Shooter         ,2010,319
Simulation      ,2010,226
Sports          ,2010,312
Strategy        ,2010,211
Visual Novel    ,2010,4
Action          ,2011,480
Action-Adventure,2011,6
Adventure       ,2011,350
Fighting        ,2011,116
Misc            ,2011,671
MMO             ,2011,6
Music           ,2011,3
Party           ,2011,3
Platform        ,2011,199
Puzzle          ,2011,269
Racing          ,2011,178
Role-Playing    ,2011,322
Shooter         ,2011,331
Simulation      ,2011,142
Sports          ,2011,220
Strategy        ,2011,184
Visual Novel    ,2011,9
Action          ,2012,160
Action-Adventure,2012,51
Adventure       ,2012,65
Fighting        ,2012,45
Misc            ,2012,721
MMO             ,2012,3
Music           ,2012,20
Party           ,2012,8
Platform        ,2012,44
Puzzle          ,2012,37
Racing          ,2012,40
Role-Playing    ,2012,94
Shooter         ,2012,88
Simulation      ,2012,48
Sports          ,2012,90
Strategy        ,2012,31
Visual Novel    ,2012,15
Action          ,2013,182
Action-Adventure,2013,60
