year,state_abbr,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
2009,VA,7882590,18195,370,6342,9911,194020,31956,150374,11690
2010,VA,8023953,17184,376,5678,9550,187403,30804,145990,10609
2011,VA,8104384,16014,304,5425,8694,182902,30656,142476,9770
2012,VA,8186628,15676,322,4718,9131,178434,29651,139654,9129
2013,VA,8270345,16355,320,4574,9111,171558,26717,136215,8626
2014,VA,8328098,16522,350,4294,9462,161934,23210,131001,7723
2015,VA,8367587,16705,390,4459,9357,157803,21542,128064,8197
2016,VA,8414380,18495,482,4826,10357,157292,20159,127285,9848
2017,VA,8465207,17811,470,4331,9984,152515,18524,123812,10179
2018,VA,8517685,17032,391,3604,10113,141885,15574,115533,10778
1979,VT,493000,908,7,141,647,25217,7779,15776,1662
1980,VT,511299,914,11,199,555,24592,7806,15278,1508
1981,VT,515000,659,22,142,325,25404,8033,15860,1511
1982,VT,516000,655,12,119,344,23555,6080,16160,1315
1983,VT,525000,696,19,146,317,21001,5724,14296,981
1984,VT,530000,769,12,122,530,20261,5387,14054,820
1985,VT,535000,790,18,112,557,20011,5210,13924,877
1986,VT,541000,807,11,120,558,20708,5135,14593,980
1987,VT,548000,748,15,92,518,22658,6085,15485,1088
1988,VT,556000,791,11,89,563,22786,6098,15591,1097
1989,VT,567000,753,11,102,509,22429,5835,15466,1128
1990,VT,562758,716,13,66,491,23713,6119,16424,1170
1991,VT,567000,662,12,67,410,21764,5784,15161,819
1992,VT,570000,624,12,51,419,18813,4706,13507,600
1993,VT,576000,658,21,52,356,22223,5036,16423,764
1994,VT,580000,562,6,71,325,18290,4274,13154,862
1995,VT,585000,692,13,64,450,19395,4451,14150,794
1996,VT,589000,714,11,91,453,16973,3964,12124,885
1997,VT,589000,705,9,79,461,15953,3611,11542,800
1998,VT,591000,628,13,56,396,17924,3966,13084,874
1999,VT,593740,676,17,65,458,16059,3537,11610,912
2000,VT,608827,691,9,117,425,17494,3501,13184,809
2001,VT,612978,644,7,107,423,16334,3150,12426,758
2002,VT,616408,658,13,77,442,14942,3489,10684,769
2003,VT,619343,707,15,62,504,13803,3017,10132,654
2004,VT,621233,713,16,78,459,14559,3435,10537,587
2005,VT,622387,782,8,76,545,14749,3185,10894,670
2006,VT,623908,905,14,114,604,14920,3443,10857,620
2007,VT,621254,802,13,79,582,14702,3200,10853,649
2008,VT,621270,854,17,93,611,15903,3515,11802,586
2009,VT,621760,837,8,111,586,15010,3471,11090,449
2010,VT,625909,820,7,76,596,14160,3348,10373,439
2011,VT,626592,925,11,99,669,15086,3838,10720,528
2012,VT,625953,891,8,114,638,15653,4179,11014,460
2013,VT,626855,775,10,75,554,13882,3352,10193,337
2014,VT,626767,643,10,72,444,9721,2092,7375,254
2015,VT,626088,747,10,105,482,9064,2034,6834,196
2016,VT,623354,851,14,78,589,9705,1884,7637,184
2017,VT,624525,1082,17,100,711,9339,1945,7169,225
2018,VT,626299,1077,10,70,710,8036,1467,6316,253
1979,WA,3926000,17064,187,4739,10317,239285,70024,152204,17057
1980,WA,4113331,19098,225,5558,11146,265338,76598,172468,16272
1981,WA,4212000,18839,213,5475,11036,265135,79696,171994,13445
1982,WA,4245000,17251,185,5003,10116,249429,71322,166188,11919
1983,WA,4300000,15986,212,4533,9318,245357,70526,163953,10878
1984,WA,4349000,17676,202,5247,10051,247687,74021,162905,10761
1985,WA,4409000,18757,231,5821,10285,269099,79859,176501,12739
1986,WA,4463000,19505,223,6031,10869,287535,83078,190420,14037
1987,WA,4538000,19945,256,6417,10902,298491,86428,194131,17932
1988,WA,4619000,21543,264,6738,11930,307008,85711,201301,19996
1989,WA,4761000,22460,209,6672,12641,291472,73563,196122,21787
1990,WA,4866692,24410,238,6326,14731,278440,61460,195221,21759
1991,WA,5018000,26224,211,7303,15181,290115,61996,205814,22305
1992,WA,5136000,27454,258,7178,16321,289581,57612,207755,24214
1993,WA,5255000,27040,271,7204,16181,285753,56083,205701,23969
1994,WA,5343000,27317,294,7464,16329,294734,55793,212198,26743
1995,WA,5431000,26300,275,7209,15602,314213,59265,224861,30087
1996,WA,5533000,23857,255,6587,14187,303111,58512,215706,28893
1997,WA,5610000,24724,244,6734,14864,307742,62064,213823,31855
1998,WA,5689000,24380,224,6577,14839,309419,60446,213773,35200
1999,WA,5756361,21716,171,5808,13026,280793,54652,192334,33807
2000,WA,5894121,21788,196,5812,13043,279144,53476,190650,35018
2001,WA,5993390,21258,179,5934,12545,287234,53024,195133,39077
2002,WA,6067060,20964,184,5797,12249,288967,54948,193526,40493
2003,WA,6131298,21272,182,5718,12509,291542,58271,192653,40618
2004,WA,6207046,21330,190,5866,12417,300837,60632,196972,43233
2005,WA,6291899,21745,205,5788,12941,307661,60343,198031,49287
2006,WA,6395798,22303,197,6424,12934,288456,58843,183179,46434
2007,WA,6468424,21768,174,6079,12862,261776,52874,170782,38120
2008,WA,6549224,21888,193,6419,12623,249283,53136,167013,29134
2009,WA,6664195,22412,190,6711,12928,245215,53047,168421,23747
2010,WA,6742950,21138,154,5929,12476,249426,55192,168490,25744
2011,WA,6823267,20152,163,5627,12042,244209,56561,162828,24820
2012,WA,6895318,20553,217,5801,12285,254377,61376,166338,26663
2013,WA,6973742,20223,167,5829,11623,259139,58487,172227,28425
2014,WA,7063166,20185,178,5641,11586,261257,55381,175317,30559
2015,WA,7160290,20505,218,5450,12059,249474,51114,171393,26967
2016,WA,7280934,22101,195,5649,13124,254994,49249,173423,32322
2017,WA,7425432,22483,226,5386,13571,235206,43687,162154,29365
2018,WA,7535591,23472,236,5572,14251,222011,40201,154133,27677
1979,WI,4720000,7839,160,2857,4064,199273,44806,141880,12587
1980,WI,4680917,8546,136,3310,4403,216073,50524,154070,11479
1981,WI,4739000,8904,161,3249,4749,216997,50813,155892,10292
1982,WI,4765000,9077,148,3393,4856,202447,46564,147177,8706
1983,WI,4751000,9070,131,3415,4663,193118,41980,141434,9704
1984,WI,4766000,9367,117,3167,5293,189484,39755,138526,11203
1985,WI,4775000,9880,135,3351,5519,181918,37987,133349,10582
1986,WI,4785000,12339,149,3483,7746,183692,37464,134083,12145
1987,WI,4807000,12014,168,3192,7700,188411,40502,136058,11851
1988,WI,4858000,10414,144,3258,6047,182545,35423,134046,13076
1989,WI,4867000,10834,176,3659,6006,191869,35683,140040,16146
1990,WI,4891769,12948,225,5514,6196,202052,36755,144924,20373
1991,WI,4955000,13723,239,5895,6330,207560,37241,148695,21624
1992,WI,5007000,13806,218,5997,6276,202448,34645,146198,21605
1993,WI,5038000,13321,222,5714,6116,190923,33400,139148,18375
1994,WI,5082000,13748,227,5739,6590,186704,32824,135559,18321
1995,WI,5123000,14399,219,5384,7602,184665,31416,134623,18626
1996,WI,5160000,13039,204,4982,6767,184143,30356,135941,17846
1997,WI,5170000,13988,205,5214,7521,176145,29503,131002,15640
1998,WI,5224000,13009,190,4474,7308,172084,29740,128134,14210
1999,WI,5250446,12908,179,4449,7225,160154,25633,120702,13819
2000,WI,5363675,12700,169,4537,6829,159424,25183,119605,14636
2001,WI,5405947,12486,192,4444,6708,166924,26927,125275,14722
2002,WI,5439692,12238,154,4713,6134,164749,27926,123365,13458
2003,WI,5474290,12104,183,4397,6322,157684,26546,118775,12363
2004,WI,5503533,11548,154,4067,6191,146710,23854,111482,11374
2005,WI,5527644,13367,206,4555,7471,147556,24448,110531,12577
2006,WI,5556506,15899,165,5564,8937,156748,27038,115682,14028
2007,WI,5601640,16330,185,5480,9438,159305,27890,117957,13458
2008,WI,5627967,15507,146,5163,9070,155456,27459,116456,11541
2009,WI,5654774,14650,146,4904,8482,147692,26813,111947,8932
2010,WI,5691659,14167,155,4516,8305,142781,26636,107993,8152
2011,WI,5709843,14268,138,4600,8340,139912,27167,104472,8273
2012,WI,5724554,16254,169,4692,10165,140780,27931,104619,8230
2013,WI,5742953,16118,163,4834,9285,125694,24358,93946,7390
2014,WI,5759432,16763,159,5101,9826,120535,21375,89255,9905
2015,WI,5767891,17549,240,5234,10270,114171,19602,83572,10997
2016,WI,5772917,17716,232,4707,10772,111911,19498,82455,9958
2017,WI,5792051,18638,192,4370,11899,104908,17570,77868,9470
2018,WI,5813568,17176,176,3489,11263,90686,14099,67953,8634
1979,WV,1878000,3156,128,825,1912,40513,11959,24755,3799
1980,WV,1930787,3547,138,936,2167,45719,14258,27606,3855
1981,WV,1951000,3410,118,979,2024,47681,15122,28884,3675
1982,WV,1948000,3405,102,970,2031,45514,13985,27962,3567
1983,WV,1965000,3375,96,869,2147,44158,13455,27134,3569
1984,WV,1952000,3283,86,744,2148,42313,12649,26296,3368
1985,WV,1936000,3214,73,728,2054,40401,11972,25191,3238
1986,WV,1919000,3156,114,787,1893,41301,11999,26055,3247
1987,WV,1897000,2605,92,591,1493,38953,11450,24436,3067
1988,WV,1884000,2476,93,644,1386,39703,11510,25147,3046
1989,WV,1857000,2724,121,793,1463,41154,11635,26608,2911
1990,WV,1793477,3036,102,680,1831,41855,11785,27310,2760
1991,WV,1801000,3440,111,779,2135,44528,12009,29369,3150
1992,WV,1812000,3833,115,788,2537,43455,11287,29200,2968
1993,WV,1820000,3793,126,782,2520,42300,10904,28456,2940
1994,WV,1822000,3931,99,772,2690,42136,10673,28189,3274
1995,WV,1828000,3842,89,781,2584,41093,10329,27724,3040
1996,WV,1826000,3836,69,737,2672,41510,9979,28300,3231
1997,WV,1816000,3971,75,782,2759,40868,10647,26934,3287
1998,WV,1811000,4503,78,676,3410,41627,11110,27127,3390
1999,WV,1806928,6336,79,661,5259,42825,10303,28760,3762
2000,WV,1808344,5723,46,749,4597,41344,9890,28139,3315
2001,WV,1800975,5035,40,707,3968,41085,9601,28268,3216
2002,WV,1804884,4221,57,657,3179,41099,9677,27524,3898
2003,WV,1811440,4627,73,701,3542,42370,10498,28409,3463
2004,WV,1812548,5110,68,774,3922,46326,10994,31566,3766
2005,WV,1814083,4968,82,816,3735,47757,11334,32603,3820
2006,WV,1818470,5113,80,853,3776,47941,11579,32305,4057
2007,WV,1812035,5016,65,847,3716,45620,10822,31321,3477
2008,WV,1814468,5006,67,896,3654,45971,10840,31967,3164
2009,WV,1819777,5554,84,914,4086,46215,12005,31453,2757
2010,WV,1854368,5586,58,776,4390,41301,10778,28104,2419
2011,WV,1854908,5497,87,802,4236,39009,10245,26656,2108
2012,WV,1856680,5943,70,835,4623,44500,11466,30800,2234
2013,WV,1853595,5657,62,653,4242,39929,9908,28055,1966
2014,WV,1848751,5850,84,655,4517,38282,9368,26954,1960
2015,WV,1841053,6397,85,783,4819,38694,9467,26984,2243
2016,WV,1828637,6633,85,720,5144,37282,9127,25657,2498
2017,WV,1817048,6564,98,673,5000,32560,7557,21917,3086
2018,WV,1805832,5236,67,572,3945,26827,5354,18954,2519
1979,WY,450000,1579,41,190,1224,20129,3887,14607,1635
1980,WY,468954,1841,29,208,1470,21543,4238,15686,1619
1981,WY,492000,2116,27,206,1709,23133,4728,16972,1433
1982,WY,502000,1527,46,172,1173,22589,4432,16903,1254
1983,WY,514000,1219,30,153,926,19412,3626,14932,854
1984,WY,511000,1237,17,118,995,17582,3279,13518,785
1985,WY,509000,1307,22,102,1069,19130,3515,14732,883
1986,WY,507000,1486,27,114,1234,20605,4144,15606,855
1987,WY,490000,1387,10,98,1125,18366,3516,14171,679
1988,WY,471000,1479,12,71,1283,17206,3103,13432,671
1989,WY,475000,1227,21,81,991,17246,3001,13593,652
1990,WY,453588,1367,22,72,1139,17732,2862,14194,676
1991,WY,460000,1427,15,79,1214,18762,3184,14867,711
1992,WY,466000,1489,17,84,1225,19831,3127,16003,701
1993,WY,470000,1345,16,81,1087,18221,3023,14470,728
1994,WY,476000,1297,16,79,1042,19122,3097,15254,771
1995,WY,480000,1220,10,86,959,19517,2938,15774,805
1996,WY,481000,1201,16,98,947,19261,3184,15408,669
1997,WY,480000,1225,17,85,986,18843,2998,15198,647
1998,WY,481000,1191,23,78,957,17124,2696,13759,669
1999,WY,479602,1115,11,74,893,15468,2349,12523,596
2000,WY,493782,1316,12,70,1074,14969,2078,12318,573
2001,WY,493754,1272,9,84,1026,16120,2481,12943,696
2002,WY,498830,1364,15,93,1108,16494,2448,13303,743
2003,WY,502111,1314,14,84,1080,16648,2611,13239,798
2004,WY,505887,1163,11,67,973,16889,2738,13352,799
2005,WY,508798,1172,14,78,958,16070,2426,12905,739
2006,WY,515004,1307,13,72,1071,15381,2322,12255,804
2007,WY,522830,1344,21,84,1067,15053,2365,11875,813
2008,WY,532668,1330,12,87,1046,14515,2198,11584,733
2009,WY,544270,1196,11,78,935,14243,2176,11310,757
2010,WY,564554,1117,8,77,870,13869,2151,11126,592
2011,WY,567356,1245,18,71,1010,12878,1864,10493,521
2012,WY,576626,1161,14,61,932,13222,2125,10513,584
2013,WY,583223,1212,17,74,917,12809,1956,10275,578
2014,WY,584304,1142,16,53,899,11477,1689,9185,603
2015,WY,586555,1300,16,59,1054,11151,1762,8797,592
2016,WY,584910,1431,20,59,1146,11460,1771,8889,800
2017,WY,578934,1358,14,98,993,10528,1556,8211,761
2018,WY,577737,1226,13,100,870,10313,1525,7949,839
