"name","state_abbr","Year","population","violent_crime","homicide","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","mass_shootings"
Arizona       ,AZ,2011           ,6467315,26789,397,7145,16748,229896,54695,155400,19801,1
Arizona       ,AZ,2012           ,6551149,28077,358,7383,18054,231701,52911,159808,18982,0
Arizona       ,AZ,2013           ,6634997,27576,355,6656,17391,223294,48292,158036,16966,1
Arizona       ,AZ,2014           ,6728783,26422,311,6225,16614,213406,43412,152683,17311,0
Arizona       ,AZ,2015           ,6817565,27968,306,6360,18193,207184,38010,152388,16786,4
Arizona       ,AZ,2016           ,6908642,32542,389,7045,21804,207317,38216,150618,18483,3
California    ,CA,1979           ,22696000,184087,2952,75767,93129,1511021,496310,847148,167563,1
California    ,CA,1980           ,23532680,210290,3411,90420,102766,1633042,545138,913070,174834,0
California    ,CA,1981           ,24159000,208485,3143,93781,97995,1625302,540806,921939,162557,0
California    ,CA,1982           ,24724000,201429,2779,91988,94133,1599827,499466,935831,164530,0
California    ,CA,1983           ,25174000,194491,2639,85826,93933,1486487,460460,867123,158904,0
California    ,CA,1984           ,25622000,195589,2717,83924,97246,1461731,443094,857328,161309,2
California    ,CA,1985           ,26365000,201763,2770,86387,101185,1516710,448506,890967,177237,0
California    ,CA,1986           ,26981000,248370,3038,92512,140701,1576299,457698,913004,205597,0
California    ,CA,1987           ,27663000,253943,2924,83341,155569,1545928,419969,896335,229624,0
California    ,CA,1988           ,28168000,261912,2936,86141,161055,1607180,407631,933636,265913,1
California    ,CA,1989           ,29063000,284136,3158,96431,172581,1681516,410468,972603,298445,2
California    ,CA,1990           ,29760021,311051,3553,112208,182602,1654186,400392,951580,302214,0
California    ,CA,1991           ,30380000,331122,3859,124939,189428,1726391,424656,986120,315615,0
California    ,CA,1992           ,30867000,345624,3921,130897,198045,1716137,427491,968534,320112,1
California    ,CA,1993           ,31211000,336381,4096,126436,194083,1678884,414182,945407,319295,2
California    ,CA,1994           ,31431000,318395,3703,112160,191548,1622102,384257,929640,308205,0
California    ,CA,1995           ,31589000,305154,3531,104611,186458,1536830,353895,902456,280479,0
California    ,CA,1996           ,31878000,274996,2916,94222,167614,1385135,312212,830457,242466,1
California    ,CA,1997           ,32268000,257582,2579,81468,163346,1312367,299240,784405,228722,1
California    ,CA,1998           ,32667000,229883,2171,68782,149148,1188791,269012,724262,195517,1
California    ,CA,1999           ,33145121,207879,2005,60039,136472,1053285,223814,660991,168480,0
California    ,CA,2000           ,33871648,210531,2079,60249,138418,1056183,222293,651855,182035,0
California    ,CA,2001           ,34600463,212867,2206,64614,136087,1134189,232273,697739,204177,1
California    ,CA,2002           ,35001986,208388,2395,64968,130827,1176484,238428,715692,222364,0
California    ,CA,2003           ,35462712,205551,2407,63770,129380,1215086,242274,731486,241326,0
California    ,CA,2004           ,35842038,189175,2392,61768,115400,1227194,245903,728687,252604,0
California    ,CA,2005           ,36154147,190178,2503,63622,114661,1200531,250521,692467,257543,0
California    ,CA,2006           ,36457549,194483,2486,71142,111620,1159988,247230,669103,243655,1
California    ,CA,2007           ,36553215,191561,2262,70706,109547,1112510,237850,654526,220134,0
California    ,CA,2008           ,36756666,185329,2142,69388,104896,1080996,237811,650656,192529,1
California    ,CA,2009           ,36961664,174934,1972,64093,100156,1009433,230198,615402,163833,1
California    ,CA,2010           ,37338198,164133,1809,58116,95877,981939,228857,600558,152524,0
California    ,CA,2011           ,37683933,154943,1792,54291,91195,973822,230075,596905,146842,1
California    ,CA,2012           ,37999878,160944,1884,56521,94702,1049465,245767,635090,168608,1
California    ,CA,2013           ,38431393,154739,1746,53640,89029,1018907,232058,621557,165292,4
California    ,CA,2014           ,38792291,153763,1700,48681,91804,947193,202669,592673,151851,3
California    ,CA,2015           ,38993940,166883,1861,52862,99349,1024914,197404,656517,170993,1
California    ,CA,2016           ,39296476,174796,1930,54789,104375,1002070,188304,637010,176756,6
Colorado      ,CO,1979           ,2772000,14472,161,4353,8486,180984,49741,117898,13345,0
Colorado      ,CO,1980           ,2878407,15215,198,4608,8899,195872,58455,124514,12903,0
Colorado      ,CO,1981           ,2963000,15755,239,4726,9438,202119,60197,129658,12264,0
Colorado      ,CO,1982           ,3045000,15354,182,4587,9229,200230,53260,134873,12097,0
Colorado      ,CO,1983           ,3139000,14955,202,3968,9469,193070,48101,133271,11698,0
Colorado      ,CO,1984           ,3178000,14548,184,3623,9503,191104,49619,128859,12626,0
Colorado      ,CO,1985           ,3231000,15219,189,4012,9697,208336,56480,137868,13988,0
Colorado      ,CO,1986           ,3267000,17105,230,4731,10762,212626,58531,138219,15876,0
Colorado      ,CO,1987           ,3296000,15409,191,3916,9958,197225,50580,132266,14379,0
Colorado      ,CO,1988           ,3290000,15548,187,3250,10842,187719,45503,128331,13885,0
Colorado      ,CO,1989           ,3317000,15636,146,2984,11304,184692,41475,128195,15022,0
Colorado      ,CO,1990           ,3294394,17328,138,2985,12684,182106,39822,128172,14112,0
Colorado      ,CO,1991           ,3377000,18887,199,3628,13472,186235,39117,132717,14401,0
Colorado      ,CO,1992           ,3470000,20086,216,4180,14049,186684,37853,131169,17662,0
Colorado      ,CO,1993           ,3566000,20229,206,4160,14230,176856,36011,124787,16058,1
Colorado      ,CO,1994           ,3656000,18632,199,3910,12944,175808,33843,127600,14365,0
Colorado      ,CO,1995           ,3747000,16494,216,3604,11194,185705,35001,136184,14520,0
Colorado      ,CO,1996           ,3823000,15463,180,3755,9763,180218,34436,130576,15206,0
Colorado      ,CO,1997           ,3893000,14139,157,3242,9063,166902,30994,119801,16107,0
Colorado      ,CO,1998           ,3971000,15008,183,3238,9704,163189,31231,115871,16087,0
Colorado      ,CO,1999           ,4056133,13811,185,3056,8891,151002,26979,109228,14795,1
Colorado      ,CO,2000           ,4301261,14367,134,3034,9425,156937,27133,112843,16961,0
Colorado      ,CO,2001           ,4430989,15492,158,3555,9849,170887,28533,121360,20994,0
Colorado      ,CO,2002           ,4501051,15882,179,3579,10058,180054,31678,125193,23183,0
Colorado      ,CO,2003           ,4547633,15757,185,3738,9921,179706,32394,124496,22816,0
Colorado      ,CO,2004           ,4601821,17121,201,3739,11236,180322,33010,123308,24004,0
Colorado      ,CO,2005           ,4663295,18498,173,3948,12351,188449,34746,127602,26101,0
Colorado      ,CO,2006           ,4753377,18794,171,3824,12641,163439,32411,110372,20656,0
Colorado      ,CO,2007           ,4861515,17101,155,3461,11410,145808,28633,100519,16656,1
Colorado      ,CO,2008           ,4939456,17480,165,3404,11760,139340,28054,97937,13349,0
Colorado      ,CO,2009           ,5024748,17022,159,3371,11223,134196,26637,95079,12480,0
Colorado      ,CO,2010           ,5047692,16339,129,3164,10816,135001,26196,97534,11271,0
Colorado      ,CO,2011           ,5116302,16085,155,3299,10346,132781,25725,96054,11002,0
Colorado      ,CO,2012           ,5189458,15951,152,3392,10285,139355,26163,101091,12101,1
Colorado      ,CO,2013           ,5272086,16099,174,3136,9826,139974,25075,102375,12524,0
Colorado      ,CO,2014           ,5355588,16487,150,3037,10211,135789,23502,99688,12599,0
Colorado      ,CO,2015           ,5448819,17348,173,3315,10532,144044,23490,104532,16022,2
Colorado      ,CO,2016           ,5530105,19030,189,3525,11681,152146,23825,108680,19641,0
Connecticut   ,CT,1979           ,3115000,12902,131,6021,5998,167131,48229,96997,21905,0
Connecticut   ,CT,1980           ,3095224,12768,146,6749,5203,169283,52638,95631,21014,0
Connecticut   ,CT,1981           ,3132000,14033,168,7709,5469,168790,52990,96927,18873,0
Connecticut   ,CT,1982           ,3153000,12597,164,6574,5167,158532,44481,96640,17411,0
Connecticut   ,CT,1983           ,3138000,11767,129,6296,4715,144437,39988,89421,15028,0
Connecticut   ,CT,1984           ,3154000,12422,122,6009,5532,133573,35607,84630,13336,0
Connecticut   ,CT,1985           ,3174000,12758,120,6032,5843,136572,36041,86524,14007,0
Connecticut   ,CT,1986           ,3189000,13578,148,6129,6541,140411,38190,87963,14258,0
Connecticut   ,CT,1987           ,3211000,13455,156,5720,6779,146958,39120,90852,16986,0
Connecticut   ,CT,1988           ,3241000,14759,174,6080,7656,150455,39477,91079,19899,0
Connecticut   ,CT,1989           ,3239000,16576,190,6956,8538,154119,40035,91483,22601,0
Connecticut   ,CT,1990           ,3287116,18201,166,7717,9400,158867,40355,94485,24027,0
Connecticut   ,CT,1991           ,3291000,17761,187,7384,9230,158770,39198,93384,26188,0
Connecticut   ,CT,1992           ,3281000,16252,166,6918,8284,149535,36372,89463,23700,0
Connecticut   ,CT,1993           ,3277000,14949,206,6447,7496,137443,32052,85876,19515,0
Connecticut   ,CT,1994           ,3275000,14916,215,6150,7745,134030,29142,84721,20167,0
Connecticut   ,CT,1995           ,3275000,13293,150,5345,7022,134188,29095,87401,17692,0
Connecticut   ,CT,1996           ,3274000,13490,158,5552,7025,124924,27574,81328,16022,0
Connecticut   ,CT,1997           ,3270000,12781,124,4999,6918,117505,24143,78821,14541,0
Connecticut   ,CT,1998           ,3274000,11993,135,4379,6751,111978,21801,77472,12705,1
Connecticut   ,CT,1999           ,3282031,11342,107,4054,6527,99894,19298,69299,11297,0
Connecticut   ,CT,2000           ,3405565,11058,98,3832,6450,99033,17436,68498,13099,0
Connecticut   ,CT,2001           ,3434602,11492,105,4183,6565,95299,17159,65762,12378,0
Connecticut   ,CT,2002           ,3458587,10807,84,4069,5914,93426,17111,64735,11580,0
Connecticut   ,CT,2003           ,3486960,11045,112,4212,6023,92981,16043,65568,11370,0
Connecticut   ,CT,2004           ,3498966,10113,100,4188,5070,93942,15959,66770,11213,0
Connecticut   ,CT,2005           ,3500701,9542,105,3933,4792,90270,15245,64416,10609,0
Connecticut   ,CT,2006           ,3504809,10505,137,4460,5212,90638,15583,64765,10290,0
Connecticut   ,CT,2007           ,3502309,10547,113,4303,5441,86528,15640,60937,9951,0
Connecticut   ,CT,2008           ,3501252,10737,132,4043,5882,87210,15107,63212,8891,0
Connecticut   ,CT,2009           ,3518288,10588,106,4001,5824,82625,15172,59992,7461,0
Connecticut   ,CT,2010           ,3575498,10083,133,3553,5802,78259,15145,56413,6701,1
