Postal Code,Title,Latitude,Longitude,Number of Victim Fatalities,Total Number of Fatalities,Number of Victims Injured,Total Number of Victims,Description,year
FL,"Inglis, Florida                                                 ",29,-82.7,2,3,1,3,"A man 57-year-old man shot and killed his wife, injured her boyfriend, and killed a Good Samaritan 68-year-old man as he rushed to protect children who were playing near the town hall before taking his life. The shooter's couple had been married for 35 years when they separated, and the shooter's wife had left her husband for her new boyfriend.                                                                                                                                                                                                ",2015
GA,"Roswell, GA Hookah shootout                                     ",34,-84.4,0,0,4,4,"Altercation in a hookah bar led a group of seven people to leave in a mini-van. They were followed. When the car stopped, the shooter fired upon the car. Four of the seven sustained non-life-threatening injuries.                                                                                                                                                                                                                                                                                                                                      ",2016
GA,Clarkesville                                                    ,34.6,-83.5,2,3,2,4,"On February 22, 2015, A former police officer fatally shot his ex-wife and her friend, then wounded a local sheriff and a deputy at his ex-wife's home on Sunday before he was killed by the return fire from law enforcement.                                                                                                                                                                                                                                                                                                                            ",2015
GA,Hill Haven Event Center (Formerly Club CJ's)                    ,33,-84.7,0,0,10,10,A shooting at a club in Meriwether Co. early Sunday injured 10 people after witnesses say gun fire was exchanged that stemmed from alleged illegal gambling.                                                                                                                                                                                                                                                                                                                                                                                              ,2015
GA,Atlanta Post Office                                             ,33.8,-84.4,2,2,1,3,"On March 6, 1985, a 30-year-old employee at the Atlanta Post Office, opened fire in the mail sorting area killing two of his coworkers and wounding a third one before he was subdue by other postal workers.                                                                                                                                                                                                                                                                                                                                             ",1985
GA,LaGrange                                                        ,33,-85,5,5,0,5,"On January 28, 2015, in a Georgia home, a man shot three family members and one friend, and strangled his daughter in law. All five died. He left town with the family's dog, and police arrested him several days later.                                                                                                                                                                                                                                                                                                                                 ",2015
GA,Offices of All-Tech Investment Group and Momentum Securities    ,33.8,-84.4,9,10,12,21,"On July 29, 1999, after murdering his wife and children in their home in Atlanta, Georgia over the prior two days, a 44-year-old day trader entered a stock exchange office, killing four and moving on to another office, where he killed an additional five and wounded twelve. He was pursued by police until he committed suicide at a gas station.                                                                                                                                                                                                   ",1999
IL,River Forest                                                    ,41.9,-87.8,1,2,3,4,Two people including the shooter are dead and three others were wounded following what began as a domestic violence incident in River Forest on Sunday morning. Two police officers were among those wounded by gunfire in the incident.                                                                                                                                                                                                                                                                                                                  ,2015
IL,Village of Manchester in Illinois                               ,39.5,-90.3,6,7,1,7,"On April 24, 2013, a 43-year old man traveled to the home of his former partner's family in Manchester, Illinois. He shot and killed three adults (one  of them pregnant), a boy, and an infant, all members of the same family. There was a third child who, after shooting her, the shooter took to a neighbor's house; she survived the incident. The shooter was then chased by the police by car. The car chase resulted in a shootout between the two. The shooter was shot and killed by the police.                                               ",2013
IL,Club Maxey's                                                    ,39.9,-88.9,1,1,4,5,"On May 25, 2015, the shooter was attending a rap concert at a venue called Club Maxey Monday when he and the victim got into an altercation.  The four other people were wounded.                                                                                                                                                                                                                                                                                                                                                                         ",2015
