CODE,Title,Latitude,Longitude,Total Number of Victims,Description,Day of Week,Shooter Race,Targeted Victim/s - Detailed
CO,Colorado Springs Colorado                                      ,38.9,-104.8,12,On Friday of November 27 2015 the shooter opened fire inside a Planned Parenthood clinic in Colorado Springs. Three people were killed and nine others were hurt. The shooter surrendered to officers after a five-hour ordeal Friday in which he fired randomly at people in the clinic and roamed the halls shooting through walls with an assault-style rifle.                                                                                                                                                                                       ,Friday   ,White American or European American       ,Three people including a police officer were killed in the shooting and nine others including five police officers were injured.  Two civilians were also killed.                                                                                                                 
CO,Colorado Springs                                                ,38.9,-104.8,3,In the morning of October 31 2015 three victims were shot and killed on the streets and sidewalks of the neighborhood.The gunman died in a shootout with police. A witness described he was walking in the street with two guns walking calmly. The shooter killed a bicyclist and two women at a nearby location.                                                                                                                                                                                                                                     ,Saturday ,White American or European American       ,A bicyclist in the streets of Colorado Springs and two women at a nearby location. The shooting was apparently random.
CO,Movie Theater in Aurora                                         ,39.7,-105,70,On July 20 2012 a 24-year old student set off several gas or smoke canisters at a movie theater in Aurora and then opened fire on the theater audience killing twelve people and wounding fifty-eight. Moments after the shooting police arrested the shooter next to his car behind the theater. Once apprehended the shooter told the police that he had booby-trapped his apartment with explosive devices before heading to the theater.                                                                                                        ,Friday   ,White American or European American       ,Audience in the movie theater                                                                                                                                                                                                                                                        
CT,Hartford Beer Distributors                                      ,41.8,-72.5,10,On August 3 2010 a 34-year old man was called into his place of employment at Hartford Beer Distributors in Manchester Connecticut for disciplinary purposes. He signed resignation papers after he was accused of stealing beer and while he was been escorted out of the building he opened fire killing eight coworkers and injuring two others before committing suicide.                                                                                                                                                                         ,Tuesday  ,Black American or African American        ,Coworkers                                                                                                                                                                                                                                                                            
CT,Connecticut State Lottery Headquarters                          ,41.7,-72.7,4,On March 6 1998 a 35-year-old disgruntled employee of the State Lottery in Newington Connecticut arrived at his workplace and began shooting. He killed four of his coworkers and supervisors before committing suicide.                                                                                                                                                                                                                                                                                                                               ,Friday   ,White American or European American       ,Supervisors coworkers                                                                                                                                                                                                                                                               
FL,Radisson Bay Harbor Inn                                         ,28,-82.4,8,On December 30 1999 a 36-year-old employee of the Radisson Bay Harbor Inn in Tampa Florida arrived at his place of work and began shooting his coworkers killing four and wounding three others. He fled the scene and attempted to steal a vehicle killing the woman inside before being arrested.                                                                                                                                                                                                                                                  ,Thursday ,Some other race                           ,Coworkers                                                                                                                                                                                                                                                                            
FL,Pinellas Park High School                                       ,27.8,-82.7,3,On February 11 1988 two students age 15 and 16 were confronted by school personnel regarding firearms they had stolen and carried on campus. The shooting began after the staff attempted to physically restrain the students and ended with an assistant principal killed and two others injured.                                                                                                                                                                                                                                                     ,Thursday ,White American or European American       ,Two assistant principals and a student teacher                                                                                                                                                                                                                                       
FL,Plantation Florida                                             ,26.1,-80.2,5,A Spring Break party in a house packed with 400 people ended in gunfire that killed one man and wounded four others.                                                                                                                                                                                                                                                                                                                                                                                                                                      ,Saturday ,Unknown                                   ,House party over 400 guests                                                                                                                                                                                                                                                         
FL,Daytona Beach                                                   ,29.2,-81.1,4,On April 3 2015 four people were shot early Friday morning at a house party near Bethune-Cookman University in Daytona Beach. Four Bethune-Cookman University students were shot after the alleged gunman was kicked out of a house party about four blocks from the campus in Daytona Beach. The escaped suspect surrendered on April 6 2015.                                                                                                                                                                                                         ,Friday   ,Black American or African American        ,Four Bethune-Cookman University students were shot.                                                                                                                                                                                                                                  
FL,Tampa FL Strip club shooting                                   ,28,-82.5,8,Fighting broke out in a strip club when an unknown shooter starting firing. One person died on the scene and one died later. Six were injured.                                                                                                                                                                                                                                                                                                                                                                                                           ,Saturday ,Unknown                                   ,Unknown                                                                                                                                                                                                                                                                              
FL,Hialeah Apartments                                              ,25.9,-80.3,6,On July 26 2013 a 42-year old man set fire to his apartment in Hialeah Florida and opened fire from his balcony and inside the apartment complex. Then he held two neighbors hostage during a stand-off with police until he was fatally shot by a SWAT team.                                                                                                                                                                                                                                                                                         ,Friday   ,Some other race                           ,Building managers neighbors people on the street                                                                                                                                                                                                                                   
FL,Orlando Florida                                                ,28.5,-81.5,12,Two people were killed and several others were hurt in a mass shooting inside an Orlando nightclub early Sunday morning.                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Sunday   ,Some other race                           ,The shooting was not random. It started as a fight between two groups and the two men who died were on opposite sides of the altercation. The rest of wounded people were  on opposite sides of the altercation and innocent bystanders.                                            
FL,Palm Bay Shopping Centers                                       ,28,-80.7,20,On April 23 1987 a 59-year-old retired librarian in Palm Bay Florida began a shooting spree in his neighborhood where he shot and injured several of his neighbors. He continued the shooting at two local shopping centers killing a total of four civilians and two police officers and injuring nine others.                                                                                                                                                                                                                                     ,Thursday ,White American or European American       ,Neighbors grocery store patrons and employees                                                                                                                                                                                                                                       
FL,Welding shop in Miami                                           ,25.8,-80.2,11,On August 20 1982 a 51-year-old teacher on psychiatric leave opened fire inside a welding shop in Miami Florida killing eight employees and wounding another three. The shooter was later shot and run down by two witnesses while he was cycling away from the crime scene.                                                                                                                                                                                                                                                                           ,Friday   ,White American or European American       ,Employees at the welding shop where the shooter had an argument the day before.                                                                                                                                                                                                      
FL,Florida family murder                                           ,30.8,-86.6,3,A young man shot his mother step-father and his ex-girlfriend's boyfriend                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,Saturday ,White American or European American       ,Shooter's mother step-father and ex-girlfriend's boyfriend                                                                                                                                                                                                                         
FL,Inglis Florida                                                 ,29,-82.7,3,A man 57-year-old man shot and killed his wife injured her boyfriend and killed a Good Samaritan 68-year-old man as he rushed to protect children who were playing near the town hall before taking his life. The shooter's couple had been married for 35 years when they separated and the shooter's wife had left her husband for her new boyfriend.                                                                                                                                                                                                ,Thursday ,White American or European American       ,The shooter's wife her boyfriend and bystander who ran to help                                                                                                                                                                                                                     
FL,Residence in Lakeland Florida                                  ,28,-81.9,4,Two men arrived at the house of a drug dealer and killed three people and critically injured one more.                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,Wednesday,Black American or African American        ,Victims were in the house of a drug dealer when the two shooters came to rob the house. Three men shot dead. One injured.                                                                                                                                                           
